date,vix
2016-11-21,19.100000381469727
2016-11-22,18.469999313354492
2016-11-23,18.040000915527344
2016-11-24,17.15999984741211
2016-11-25,17.610000610351562
2016-11-28,18.059999465942383
2016-11-29,17.709999084472656
2016-11-30,16.850000381469727
2016-12-01,16.690000534057617
2016-12-02,17.93000030517578
2016-12-05,17.290000915527344
2016-12-06,17.110000610351562
2016-12-07,16.850000381469727
2016-12-08,15.529999732971191
2016-12-09,15.069999694824219
2016-12-12,16.190000534057617
2016-12-13,15.920000076293945
2016-12-14,16.59000015258789
2016-12-15,15.65999984741211
2016-12-16,15.25
2016-12-19,14.84000015258789
2016-12-20,14.539999961853027
2016-12-21,14.710000038146973
2016-12-22,15.550000190734863
2016-12-23,15.130000114440918
2016-12-26,16.600000381469727
2016-12-27,15.079999923706055
