date,entry,gap,bias,confidence,regime,strategy,pnl,capital
2024-04-26,22419.94921875,0,NEUTRAL,5.0,1,NO TRADE,0.0,-291360.0
2024-04-29,22643.400390625,0,NEUTRAL,10.0,1,IRON CONDOR,-9625.0,-300985.0
2024-04-30,22754.849609375,150,NEUTRAL,28.0,1,IRON CONDOR,-9895.0,-310880.0
2024-05-02,22648.19921875,0,NEUTRAL,25.0,1,IRON CONDOR,-10030.000000000002,-320910.0
2024-05-03,22475.849609375,0,NEUTRAL,25.0,1,IRON CONDOR,-10435.0,-331345.0
2024-05-06,22292.69921875,-150,NEUTRAL,8.0,1,IRON CONDOR,-10975.0,-342320.0
2024-05-07,22302.5,0,NEUTRAL,10.0,1,IRON CONDOR,-11110.0,-353430.0
2024-05-08,22152.5,-150,BEARISH,43.0,1,BEAR CALL SPREAD,6110.0,-347320.0
2024-05-09,22057.5,100,NEUTRAL,5.0,1,IRON CONDOR,6335.0,-340985.0
2024-05-10,22005.19921875,-50,NEUTRAL,10.0,1,IRON CONDOR,-11515.0,-352500.0
2024-05-13,22104.05078125,0,NEUTRAL,10.0,1,IRON CONDOR,-12190.0,-364690.0
2024-05-14,22167.849609375,-50,NEUTRAL,10.0,1,IRON CONDOR,-12055.000000000002,-376745.0
2024-05-15,22150.55078125,-50,NEUTRAL,5.0,1,IRON CONDOR,-12055.000000000002,-388800.0
2024-05-16,22403.849609375,0,NEUTRAL,10.0,1,IRON CONDOR,-12055.000000000002,-400855.0
2024-05-17,22466.099609375,0,NEUTRAL,10.0,1,IRON CONDOR,-11920.0,-412775.0
2024-05-21,22529.05078125,0,NEUTRAL,10.0,1,IRON CONDOR,-12460.0,-425235.0
2024-05-22,22597.80078125,0,NEUTRAL,10.0,1,IRON CONDOR,-12460.0,-437695.0
2024-05-23,22967.650390625,0,NEUTRAL,5.0,1,IRON CONDOR,-12460.0,-450155.0
2024-05-24,22957.099609375,0,BULLISH,35.0,1,BULL PUT SPREAD,-12460.0,-462615.0
2024-05-27,22832.44921875,-100,NEUTRAL,20.0,1,NO TRADE,0.0,-462615.0
2024-05-28,22888.150390625,0,NEUTRAL,20.0,1,NO TRADE,0.0,-462615.0
2024-05-29,22554.69921875,-150,BEARISH,38.0,1,NO TRADE,0.0,-462615.0
2024-05-30,22388.650390625,-100,NEUTRAL,5.0,1,NO TRADE,0.0,-462615.0
2024-05-31,22530.69921875,0,NEUTRAL,25.0,1,NO TRADE,0.0,-462615.0
2024-06-03,23363.900390625,100,NEUTRAL,20.0,2,IRON CONDOR,-12325.0,-474940.0
2024-06-04,21884.5,0,NEUTRAL,10.0,2,NO TRADE,0.0,-474940.0
2024-06-05,22620.349609375,0,NEUTRAL,5.0,2,IRON CONDOR,-11650.0,-486590.0
2024-06-06,22821.400390625,0,NEUTRAL,10.0,2,IRON CONDOR,-10975.0,-497565.0
2024-06-07,23290.150390625,0,NEUTRAL,10.0,2,IRON CONDOR,2420.0000000000005,-495145.0
2024-06-10,23259.19921875,0,NEUTRAL,10.0,2,IRON CONDOR,6035.0,-489110.0
2024-06-11,23214.849609375,-50,NEUTRAL,10.0,2,IRON CONDOR,-10435.0,-499545.0
2024-06-12,23472.94921875,150,BULLISH,58.0,2,LONG CALL SPREAD,-3415.0,-502960.0
2024-06-13,23398.900390625,0,NEUTRAL,20.0,2,IRON CONDOR,5510.0,-497450.0
2024-06-14,23465.599609375,0,NEUTRAL,20.0,2,IRON CONDOR,2150.0,-495300.0
2024-06-18,23407.900390625,-150,NEUTRAL,2.0,2,IRON CONDOR,-9895.0,-505195.0
2024-06-19,23466.0,-50,NEUTRAL,20.0,2,IRON CONDOR,-10165.0,-515360.0
2024-06-20,23667.0,100,NEUTRAL,20.0,2,IRON CONDOR,-10030.000000000002,-525390.0
2024-06-21,23501.099609375,0,NEUTRAL,20.0,2,IRON CONDOR,-9895.0,-535285.0
2024-06-24,23537.849609375,0,NEUTRAL,20.0,2,IRON CONDOR,-10165.0,-545450.0
2024-06-25,23621.30078125,-100,NEUTRAL,20.0,2,IRON CONDOR,-10300.0,-555750.0
2024-06-26,23868.80078125,0,NEUTRAL,20.0,2,IRON CONDOR,-10165.0,-565915.0
2024-06-27,24094.5,50,NEUTRAL,20.0,2,IRON CONDOR,5660.0,-560255.0
2024-06-28,24010.599609375,0,NEUTRAL,20.0,2,IRON CONDOR,-10165.0,-570420.0
2024-07-01,24141.94921875,0,NEUTRAL,20.0,2,IRON CONDOR,5585.0,-564835.0
2024-07-02,24123.849609375,0,BULLISH,35.0,2,BULL PUT SPREAD,5585.0,-559250.0
2024-07-03,24436.5,150,BULLISH,68.0,1,LONG CALL SPREAD,-3340.0,-562590.0
2024-07-04,24302.150390625,0,NEUTRAL,20.0,1,IRON CONDOR,2150.0,-560440.0
2024-07-05,24173.849609375,-150,NEUTRAL,2.0,1,IRON CONDOR,-9760.0,-570200.0
2024-07-08,24320.55078125,0,NEUTRAL,20.0,1,IRON CONDOR,2180.0,-568020.0
2024-07-09,24433.19921875,0,NEUTRAL,20.0,1,IRON CONDOR,5660.0,-562360.0
2024-07-10,24324.44921875,0,BULLISH,35.0,1,BULL PUT SPREAD,5660.0,-556700.0
2024-07-11,24165.94921875,-150,NEUTRAL,28.0,1,IRON CONDOR,-10165.0,-566865.0
2024-07-12,24502.150390625,0,BULLISH,35.0,1,BULL PUT SPREAD,5585.0,-561280.0
2024-07-15,24586.69921875,0,NEUTRAL,20.0,1,IRON CONDOR,-10300.0,-571580.0
2024-07-16,24613.0,0,BULLISH,35.0,1,BULL PUT SPREAD,-10300.0,-581880.0
2024-07-18,24800.849609375,0,NEUTRAL,5.0,1,IRON CONDOR,-10300.0,-592180.0
2024-07-19,24530.900390625,0,NEUTRAL,15.0,1,IRON CONDOR,-10435.0,-602615.0
2024-07-22,24559.25,50,NEUTRAL,15.0,1,IRON CONDOR,-10570.0,-613185.0
2024-07-23,24479.05078125,0,NEUTRAL,0.0,1,IRON CONDOR,-9895.0,-623080.0
2024-07-24,24413.5,0,NEUTRAL,15.0,1,NO TRADE,0.0,-623080.0
2024-07-25,24556.099609375,150,NEUTRAL,18.0,1,IRON CONDOR,-9760.0,-632840.0
2024-07-26,24834.849609375,0,NEUTRAL,15.0,1,IRON CONDOR,5285.0,-627555.0
2024-07-29,24986.099609375,150,BULLISH,33.0,1,BULL PUT SPREAD,-9895.0,-637450.0
2024-07-30,24857.30078125,0,NEUTRAL,0.0,1,IRON CONDOR,-9895.0,-647345.0
2024-07-31,24951.150390625,0,NEUTRAL,15.0,1,IRON CONDOR,-10030.000000000002,-657375.0
2024-08-01,25010.900390625,0,NEUTRAL,15.0,1,IRON CONDOR,-9895.0,-667270.0
2024-08-02,24567.69921875,-150,BEARISH,48.0,1,BEAR CALL SPREAD,2240.0,-665030.0
2024-08-05,24055.599609375,0,NEUTRAL,25.0,0,IRON CONDOR,2630.0,-662400.0
2024-08-06,23992.55078125,0,NEUTRAL,5.0,0,IRON CONDOR,-11650.0,-674050.0
2024-08-07,24297.5,0,NEUTRAL,25.0,0,IRON CONDOR,5960.0,-668090.0
2024-08-08,24117.0,0,NEUTRAL,5.0,0,IRON CONDOR,-10975.0,-679065.0
2024-08-09,24367.5,0,NEUTRAL,10.0,0,IRON CONDOR,2300.0,-676765.0
2024-08-12,24347.0,0,NEUTRAL,10.0,0,IRON CONDOR,-10705.000000000002,-687470.0
2024-08-13,24289.0,150,BULLISH,38.0,0,BULL PUT SPREAD,5960.0,-681510.0
2024-08-14,24143.75,0,NEUTRAL,10.0,0,IRON CONDOR,-10570.0,-692080.0
2024-08-16,24541.150390625,0,NEUTRAL,5.0,0,IRON CONDOR,5660.0,-686420.0
2024-08-19,24572.650390625,0,NEUTRAL,5.0,0,IRON CONDOR,-10300.0,-696720.0
2024-08-20,24698.849609375,0,NEUTRAL,10.0,0,IRON CONDOR,-10165.0,-706885.0
2024-08-21,24770.19921875,0,NEUTRAL,10.0,0,IRON CONDOR,-10030.000000000002,-716915.0
2024-08-22,24811.5,0,NEUTRAL,5.0,0,IRON CONDOR,-9895.0,-726810.0
2024-08-23,24923.150390625,100,BULLISH,35.0,0,BULL PUT SPREAD,2180.0,-724630.0
2024-08-26,25010.599609375,0,NEUTRAL,20.0,0,IRON CONDOR,5585.0,-719045.0
2024-08-27,25067.75,50,NEUTRAL,20.0,0,IRON CONDOR,5510.0,-713535.0
2024-08-28,25052.349609375,0,NEUTRAL,5.0,0,IRON CONDOR,5585.0,-707950.0
2024-08-29,25151.94921875,0,NEUTRAL,20.0,0,IRON CONDOR,2210.0,-705740.0
2024-08-30,25235.900390625,0,BULLISH,35.0,0,BULL PUT SPREAD,2180.0,-703560.0
2024-09-02,25278.69921875,0,NEUTRAL,20.0,0,IRON CONDOR,-10165.0,-713725.0
2024-09-03,25279.849609375,0,NEUTRAL,5.0,1,IRON CONDOR,-10165.0,-723890.0
2024-09-04,25198.69921875,0,NEUTRAL,20.0,1,IRON CONDOR,-10300.0,-734190.0
2024-09-05,25245.099609375,100,NEUTRAL,20.0,1,IRON CONDOR,-10300.0,-744490.0
2024-09-06,24702.150390625,-150,BEARISH,58.0,1,LONG PUT SPREAD,-3490.0,-747980.0
2024-09-09,24936.400390625,0,NEUTRAL,5.0,1,IRON CONDOR,-10300.0,-758280.0
2024-09-10,24891.099609375,-150,BEARISH,43.0,1,BEAR CALL SPREAD,-10030.000000000002,-768310.0
2024-09-11,24918.44921875,0,NEUTRAL,5.0,1,IRON CONDOR,-10030.000000000002,-778340.0
2024-09-12,25388.900390625,0,NEUTRAL,15.0,1,IRON CONDOR,5435.0,-772905.0
2024-09-13,25256.5,-100,NEUTRAL,15.0,1,IRON CONDOR,-9760.0,-782665.0
2024-09-16,25383.75,0,NEUTRAL,20.0,1,IRON CONDOR,-9760.0,-792425.0
2024-09-17,25418.55078125,0,NEUTRAL,20.0,1,IRON CONDOR,-9760.0,-802185.0
2024-09-18,25327.55078125,-50,NEUTRAL,20.0,1,IRON CONDOR,-10030.000000000002,-812215.0
2024-09-19,25315.80078125,-100,BULLISH,35.0,1,BULL PUT SPREAD,5360.0,-806855.0
2024-09-20,25790.94921875,0,NEUTRAL,20.0,1,IRON CONDOR,-9895.0,-816750.0
2024-09-23,25939.05078125,0,NEUTRAL,20.0,1,IRON CONDOR,2210.0,-814540.0
2024-09-24,25840.400390625,-100,NEUTRAL,20.0,1,IRON CONDOR,-10030.000000000002,-824570.0
2024-09-25,26004.150390625,0,NEUTRAL,20.0,1,IRON CONDOR,-9895.0,-834465.0
2024-09-26,26216.05078125,0,NEUTRAL,20.0,1,IRON CONDOR,-9625.0,-844090.0
2024-09-27,26178.94921875,0,NEUTRAL,20.0,1,NO TRADE,0.0,-844090.0
2024-09-30,25810.849609375,0,NEUTRAL,20.0,1,IRON CONDOR,-9895.0,-853985.0
2024-10-01,25796.900390625,0,NEUTRAL,5.0,1,NO TRADE,0.0,-853985.0
2024-10-03,25250.099609375,0,NEUTRAL,10.0,0,IRON CONDOR,-9895.0,-863880.0
2024-10-04,25014.599609375,0,NEUTRAL,5.0,0,IRON CONDOR,5660.0,-858220.0
2024-10-07,24795.75,0,BEARISH,35.0,0,BEAR CALL SPREAD,5810.0,-852410.0
2024-10-08,25013.150390625,0,NEUTRAL,5.0,0,IRON CONDOR,2270.0,-850140.0
2024-10-09,25131.94921875,150,BULLISH,38.0,0,BULL PUT SPREAD,2240.0,-847900.0
2024-10-10,25148.44921875,150,NEUTRAL,23.0,0,IRON CONDOR,-10030.000000000002,-857930.0
2024-10-11,24864.25,-100,NEUTRAL,5.0,0,IRON CONDOR,-10030.000000000002,-867960.0
2024-10-14,25127.94921875,0,NEUTRAL,5.0,0,IRON CONDOR,-9895.0,-877855.0
2024-10-15,24957.349609375,-100,NEUTRAL,25.0,0,IRON CONDOR,-9895.0,-887750.0
2024-10-16,24971.30078125,0,NEUTRAL,10.0,0,IRON CONDOR,-9895.0,-897645.0
2024-10-17,24749.849609375,0,NEUTRAL,20.0,0,IRON CONDOR,-10030.000000000002,-907675.0
2024-10-18,24704.05078125,-150,BEARISH,43.0,0,BEAR CALL SPREAD,5435.0,-902240.0
2024-10-21,24831.099609375,50,NEUTRAL,20.0,0,IRON CONDOR,-10165.0,-912405.0
2024-10-22,24472.099609375,0,NEUTRAL,20.0,0,IRON CONDOR,-10300.0,-922705.0
2024-10-23,24535.5,100,BEARISH,35.0,1,BEAR CALL SPREAD,2270.0,-920435.0
2024-10-24,24399.400390625,0,NEUTRAL,20.0,1,IRON CONDOR,5585.0,-914850.0
2024-10-25,24280.80078125,100,NEUTRAL,20.0,1,IRON CONDOR,5735.0,-909115.0
2024-10-28,24339.150390625,0,NEUTRAL,20.0,1,IRON CONDOR,-10300.0,-919415.0
2024-10-29,24416.849609375,-50,NEUTRAL,20.0,1,IRON CONDOR,-10300.0,-929715.0
2024-10-30,24340.849609375,0,NEUTRAL,20.0,1,IRON CONDOR,-10705.000000000002,-940420.0
2024-10-31,24305.349609375,100,BEARISH,35.0,1,BEAR CALL SPREAD,2330.0,-938090.0
2024-11-01,24154.349609375,-150,BEARISH,53.0,1,LONG PUT SPREAD,-3565.0,-941655.0
2024-11-04,23995.349609375,0,NEUTRAL,20.0,1,IRON CONDOR,-10975.0,-952630.0
2024-11-05,24113.30078125,-100,NEUTRAL,5.0,1,IRON CONDOR,-10840.0,-963470.0
2024-11-06,24384.05078125,-100,NEUTRAL,5.0,1,IRON CONDOR,-10435.0,-973905.0
2024-11-07,24349.349609375,150,BULLISH,38.0,1,BULL PUT SPREAD,-10435.0,-984340.0
2024-11-08,24148.19921875,0,NEUTRAL,20.0,1,IRON CONDOR,-10300.0,-994640.0
